epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.6467093825340271,1.344155192375183,0.7619010806083679,0.8182831406593323,0.6515471339225769,0.9044964909553528
1,0.7999382615089417,0.7156708240509033,0.8924465775489807,0.8599033951759338,0.4965813457965851,0.9331103563308716
2,0.8189182877540588,0.6190359592437744,0.9071059226989746,0.8766257762908936,0.42901119589805603,0.9446302652359009
3,0.839364230632782,0.5451453328132629,0.9228454828262329,0.8840579986572266,0.4000268280506134,0.9472315311431885
4,0.8527891635894775,0.49914681911468506,0.9301751255989075,0.8914901614189148,0.3708707094192505,0.953177273273468
5,0.860736072063446,0.4787816107273102,0.9348815679550171,0.8955778479576111,0.35415685176849365,0.9572649598121643
6,0.8643622994422913,0.45511531829833984,0.9395880103111267,0.8981791138648987,0.344351202249527,0.9583798050880432
7,0.8677571415901184,0.4329110383987427,0.9416711926460266,0.9004087448120117,0.3351334035396576,0.9602378010749817
8,0.8708432912826538,0.4195842146873474,0.944757342338562,0.9056112766265869,0.3262423574924469,0.9606094360351562
9,0.8795617818832397,0.39785274863243103,0.9477663636207581,0.8996655344963074,0.33796170353889465,0.9594945907592773
10,0.8762441277503967,0.39659109711647034,0.9469176530838013,0.9041248559951782,0.31495919823646545,0.9628390669822693
11,0.8775557279586792,0.39249005913734436,0.9491551518440247,0.9100705981254578,0.305099219083786,0.9643255472183228
12,0.8823392987251282,0.38405609130859375,0.9488465189933777,0.9085841774940491,0.3096792697906494,0.9658119678497314
13,0.8804876208305359,0.3763669431209564,0.9492323398590088,0.9093273878097534,0.30494189262390137,0.9643255472183228
14,0.8848854303359985,0.3665265738964081,0.952858567237854,0.9100705981254578,0.3037514090538025,0.9635823369026184
15,0.8835737705230713,0.36217355728149414,0.9524728059768677,0.9115570187568665,0.3098410964012146,0.9639539122581482
16,0.8854255080223083,0.36139607429504395,0.9533215165138245,0.9104422330856323,0.2994520962238312,0.9658119678497314
17,0.8886659741401672,0.35562583804130554,0.9530128836631775,0.9171311855316162,0.2931305766105652,0.9654403328895569
18,0.8889746069908142,0.3513409197330475,0.9544788002967834,0.9145299196243286,0.29589247703552246,0.966183602809906
19,0.8919836282730103,0.3456191122531891,0.9557904601097107,0.9145299196243286,0.2897893190383911,0.966183602809906
20,0.8881258964538574,0.349671334028244,0.9551731944084167,0.9137867093086243,0.289291113615036,0.9639539122581482
21,0.8908263444900513,0.34117773175239563,0.9577964544296265,0.9123002886772156,0.28530335426330566,0.9658119678497314
22,0.8949926495552063,0.33213409781455994,0.9577193260192871,0.9145299196243286,0.2871246039867401,0.9654403328895569
23,0.8959185481071472,0.3229094445705414,0.960959792137146,0.914158284664154,0.29354017972946167,0.9658119678497314
24,0.8973844647407532,0.3248298764228821,0.9581050872802734,0.9145299196243286,0.2839144170284271,0.9672983884811401
25,0.8922922611236572,0.3336329460144043,0.9581050872802734,0.9115570187568665,0.28734010457992554,0.9672983884811401
26,0.8949155211448669,0.329642653465271,0.9574878215789795,0.9137867093086243,0.2716310918331146,0.9691564440727234
27,0.9010878801345825,0.31372779607772827,0.9622714519500732,0.9137867093086243,0.28195539116859436,0.969528079032898
28,0.8984646201133728,0.3172775208950043,0.9600339531898499,0.9167595505714417,0.2768374979496002,0.9669268131256104
29,0.9030167460441589,0.31026142835617065,0.9601110816001892,0.915273129940033,0.2733466923236847,0.971757709980011
30,0.904251217842102,0.29818692803382874,0.9631201028823853,0.9163879752159119,0.2767328917980194,0.9680415987968445
31,0.9030167460441589,0.3055375814437866,0.9614998698234558,0.9167595505714417,0.27244576811790466,0.9672983884811401
32,0.8996990919113159,0.30952805280685425,0.9618085026741028,0.917502760887146,0.2665017247200012,0.968413233757019
33,0.9017822742462158,0.3134349286556244,0.960959792137146,0.9171311855316162,0.27301231026649475,0.9676700234413147
34,0.9008564352989197,0.3008544445037842,0.9652032852172852,0.9156447649002075,0.27041980624198914,0.9676700234413147
35,0.899390459060669,0.3080277144908905,0.9581822156906128,0.9156447649002075,0.27492836117744446,0.9680415987968445
36,0.9047912955284119,0.2921988368034363,0.9641231298446655,0.9219620823860168,0.26619961857795715,0.9725009202957153
37,0.9058714509010315,0.29533952474594116,0.9631972908973694,0.9201040267944336,0.2672902047634125,0.9665551781654358
38,0.9085718989372253,0.28893330693244934,0.9650489687919617,0.9234485030174255,0.2605913281440735,0.9710144996643066
39,0.9040197730064392,0.2947162985801697,0.9664377570152283,0.9197324514389038,0.26114973425865173,0.9706428647041321
40,0.909034788608551,0.2869817316532135,0.9652032852172852,0.9238201379776001,0.26643165946006775,0.9702712893486023
41,0.9058714509010315,0.2879451811313629,0.964586079120636,0.9189892411231995,0.2618674039840698,0.9706428647041321
42,0.9086490273475647,0.2846313416957855,0.9661291837692261,0.9238201379776001,0.2642578184604645,0.9687848091125488
43,0.9072602391242981,0.2872121036052704,0.9644317626953125,0.9234485030174255,0.2625812888145447,0.9698996543884277
44,0.9095748662948608,0.2768261730670929,0.9676722288131714,0.9227052927017212,0.2614411413669586,0.971757709980011
45,0.9074916839599609,0.2834906280040741,0.9655890464782715,0.9230769276618958,0.2598748207092285,0.969528079032898
46,0.9068744778633118,0.27694642543792725,0.9682894945144653,0.9215905070304871,0.267019659280777,0.9669268131256104
47,0.9104235768318176,0.278496116399765,0.9678265452384949,0.9234485030174255,0.2643981873989105,0.9706428647041321
48,0.9120438098907471,0.2809094488620758,0.9669778347015381,0.9189892411231995,0.2661305367946625,0.9687848091125488
49,0.9101921319961548,0.2759034037590027,0.9660519957542419,0.9219620823860168,0.2652237117290497,0.9676700234413147
50,0.9117351770401001,0.2665703594684601,0.9673636555671692,0.9234485030174255,0.26538002490997314,0.9676700234413147
51,0.9135869145393372,0.2720198929309845,0.9694467782974243,0.9219620823860168,0.2636776566505432,0.9698996543884277
52,0.9088804721832275,0.27467721700668335,0.9670550227165222,0.9223337173461914,0.26335492730140686,0.9691564440727234
