stage,epoch,epoch_seconds,stage_seconds,pipeline_seconds,learning_rate
frozen,1,183.344900092,183.34704384099996,184.0111072269999,9.999999747378752e-05
frozen,2,78.782833278,262.135222656,262.799286964,9.999999747378752e-05
frozen,3,78.55502625300005,340.6949685149999,341.3590338209999,9.999999747378752e-05
frozen,4,80.99856228399983,421.6982642149999,422.36232932199994,9.999999747378752e-05
frozen,5,80.17593191000014,501.88014529399993,502.54421082099987,9.999999747378752e-05
frozen,6,77.91581442799998,579.8010052469999,580.4650703579999,9.999999747378752e-05
frozen,7,75.17240984900013,654.978029637,655.642094983,9.999999747378752e-05
frozen,8,77.98452364500008,732.967007852,733.6310728519999,9.999999747378752e-05
frozen,9,77.10410396700013,810.075986947,810.7400519479999,9.999999747378752e-05
frozen,10,77.11236345100019,887.193077373,887.8571427109999,9.999999747378752e-05
frozen,11,76.76442456500013,963.96272267,964.6267880279999,9.999999747378752e-05
frozen,12,77.42983875100003,1041.397588681,1042.0616540380001,9.999999747378752e-05
frozen,13,74.225161609,1115.6278566429999,1116.2919222239998,9.999999747378752e-05
frozen,14,76.30807184499986,1191.940347797,1192.6044129359998,9.999999747378752e-05
frozen,15,75.12453084000003,1267.069646985,1267.7337125,9.999999747378752e-05
frozen,16,76.52293936299998,1343.597863854,1344.2619292169998,9.999999747378752e-05
frozen,17,78.23362442799998,1421.836184198,1422.500249627,9.999999747378752e-05
frozen,18,77.35954935300015,1499.200851661,1499.864917211,9.999999747378752e-05
frozen,19,76.15739737499962,1575.362924389,1576.026989906,9.999999747378752e-05
frozen,20,77.04781301000003,1652.416055782,1653.080121203,9.999999747378752e-05
frozen,21,78.44130613899961,1730.8625595859999,1731.5266245990001,9.999999747378752e-05
frozen,22,78.19167543399999,1809.0594186489998,1809.723484004,9.999999747378752e-05
frozen,23,75.82067811199977,1884.8848562160001,1885.5489215339999,9.999999747378752e-05
frozen,24,75.05748867399961,1959.946827239,1960.610892789,9.999999747378752e-05
frozen,25,79.15723982899999,2039.1096324179998,2039.773697733,9.999999747378752e-05
frozen,26,74.75277755399975,2113.867331305,2114.531396756,9.999999747378752e-05
frozen,27,79.52247564700019,2193.395153513,2194.059219012,9.999999747378752e-05
frozen,28,76.09887150400027,2269.499196782,2270.163262207,9.999999747378752e-05
frozen,29,76.86382511900001,2346.368558634,2347.0326238380003,9.999999747378752e-05
frozen,30,75.99865157600016,2422.372326366,2423.036391832,9.999999747378752e-05
frozen,31,78.9954588569999,2501.372181776,2502.036247273,9.999999747378752e-05
frozen,32,74.7518143719999,2576.12838837,2576.792453939,9.999999747378752e-05
frozen,33,75.4180886590002,2651.551372562,2652.215437883,9.999999747378752e-05
frozen,34,77.25763264800025,2728.814496717,2729.478561561,9.999999747378752e-05
frozen,35,79.06561583899975,2807.88516929,2808.5492346720002,9.999999747378752e-05
frozen,36,76.53319303800026,2884.423316251,2885.0873817330003,9.999999747378752e-05
frozen,37,77.3069223880002,2961.735885681,2962.39995126,9.999999747378752e-05
frozen,38,78.50375281400011,3040.243999655,3040.90806499,9.999999747378752e-05
frozen,39,78.70715031600002,3118.955809884,3119.619874902,9.999999747378752e-05
frozen,40,77.06983828500006,3196.031028475,3196.695093835,9.999999747378752e-05
frozen,41,76.77611433499987,3272.811959987,3273.476025297,9.999999747378752e-05
frozen,42,77.31577725599982,3350.1324870109997,3350.796552448,9.999999747378752e-05
frozen,43,75.57864745300003,3425.7171811929998,3426.381246753,9.999999747378752e-05
frozen,44,75.04660358699994,3500.7693605639997,3501.4334259839998,9.999999747378752e-05
frozen,45,76.15680246600004,3576.9317661429995,3577.595831646,9.999999747378752e-05
frozen,46,77.84878929300066,3654.787335176,3655.451400709,9.999999747378752e-05
frozen,47,84.25852054299958,3739.0505073040003,3739.7145725150003,9.999999747378752e-05
