epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy,learning_rate,epoch_seconds,stage_seconds,pipeline_seconds
1,0.9685459733009338,0.09513623267412186,0.9929128885269165,0.953177273273468,0.20155827701091766,0.9788182973861694,9.999999974752427e-07,306.6439551550011,306.6450417330016,15881.19653492
2,0.9679885506629944,0.08709679543972015,0.994425892829895,0.9546636939048767,0.19974257051944733,0.9791898727416992,9.999999974752427e-07,193.43161744399916,500.08196139199936,16074.633454931998
3,0.9736422896385193,0.08133567124605179,0.9932314157485962,0.955406904220581,0.1980741173028946,0.9784466624259949,9.999999974752427e-07,192.88717998500212,692.9742981419986,16267.525791338998
4,0.971651554107666,0.0820009633898735,0.994425892829895,0.9576365947723389,0.19704307615756989,0.9788182973861694,9.999999974752427e-07,192.77176045899975,885.7508887590011,16460.302381819998
5,0.9730052351951599,0.07513902336359024,0.9949036240577698,0.9580081701278687,0.19464023411273956,0.9791898727416992,9.999999974752427e-07,192.96104361900143,1078.7168710359983,16653.268364216998
6,0.9769867658615112,0.06539002060890198,0.9958592057228088,0.9580081701278687,0.1939539611339569,0.9799330830574036,9.999999974752427e-07,192.92255318000025,1271.6445567730009,16846.196050198
7,0.9747571349143982,0.0696992576122284,0.994425892829895,0.95652174949646,0.19731414318084717,0.9784466624259949,9.999999974752427e-07,187.96416054600195,1459.6134761520009,17034.164969654998
8,0.9742793440818787,0.07040801644325256,0.9949036240577698,0.9576365947723389,0.1953076869249344,0.9784466624259949,9.999999974752427e-07,187.87817718000224,1647.495767261,17222.047260618998
9,0.9752349257469177,0.06679801642894745,0.9953814148902893,0.9572649598121643,0.19619019329547882,0.9803047180175781,9.999999974752427e-07,187.6109957539993,1835.111961606999,17409.663455206
10,0.9762700796127319,0.06800669431686401,0.9945054650306702,0.958751380443573,0.1917942762374878,0.9810479283332825,9.999999974752427e-07,193.11540664800123,2028.231544907001,17602.783038273
11,0.9790571928024292,0.060553308576345444,0.9955406785011292,0.958751380443573,0.19491010904312134,0.9799330830574036,9.999999974752427e-07,188.03188628000132,2216.268931789,17790.820425396
12,0.9778627157211304,0.0629797875881195,0.9952221512794495,0.9591230154037476,0.193875253200531,0.9806763529777527,9.999999974752427e-07,188.2457337099986,2404.5188815049987,17979.070375033
13,0.9777034521102905,0.05891465023159981,0.9959388375282288,0.9606094360351562,0.19533760845661163,0.9799330830574036,9.999999974752427e-07,188.31300864799775,2592.836073928,18167.387567462
