epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.28197166323661804,3.5625712871551514,0.4079471230506897,0.42549237608909607,2.235381603240967,0.5893719792366028
1,0.28165313601493835,3.4977312088012695,0.41352126002311707,0.39093273878097534,2.472614049911499,0.5392047762870789
2,0.28412166237831116,3.4688427448272705,0.4139194190502167,0.39836493134498596,2.4284462928771973,0.5414344072341919
3,0.2827679514884949,3.4502012729644775,0.41981208324432373,0.39836493134498596,2.421353340148926,0.5440356731414795
4,0.2938365936279297,3.3699123859405518,0.43191590905189514,0.39985135197639465,2.383878469467163,0.5566703677177429
5,0.29519030451774597,3.353699207305908,0.427775114774704,0.40393906831741333,2.348189353942871,0.5566703677177429
6,0.30044594407081604,3.32548189163208,0.43971970677375793,0.41508734226226807,2.315822124481201,0.5670754313468933
7,0.31071826815605164,3.2964203357696533,0.445612370967865,0.4095132052898407,2.297959089279175,0.5689334869384766
8,0.3094441890716553,3.279541254043579,0.44338271021842957,0.4214046895503998,2.265866756439209,0.5737643837928772
9,0.31294792890548706,3.2773325443267822,0.4476827383041382,0.4176885783672333,2.2530736923217773,0.579338550567627
10,0.3140627443790436,3.1863982677459717,0.4549291431903839,0.42846524715423584,2.207714080810547,0.58156818151474
11,0.3248128592967987,3.1687769889831543,0.4602643847465515,0.43589743971824646,2.196082830429077,0.5871423482894897
12,0.3201943039894104,3.1508405208587646,0.4637681245803833,0.4392419159412384,2.165583372116089,0.5938313007354736
13,0.32457396388053894,3.1202831268310547,0.4637681245803833,0.43887031078338623,2.1334686279296875,0.6005202531814575
14,0.33237776160240173,3.1087541580200195,0.4655996263027191,0.4407283663749695,2.12369441986084,0.5990338325500488
15,0.33205923438072205,3.0490081310272217,0.472288578748703,0.446674108505249,2.1131601333618164,0.6053511500358582
16,0.3379518985748291,3.004737377166748,0.48136645555496216,0.45039018988609314,2.0899288654327393,0.6120401620864868
17,0.3428889811038971,2.9992129802703857,0.4837553799152374,0.45410627126693726,2.0552525520324707,0.6157562136650085
18,0.3439241945743561,2.991936445236206,0.48709985613822937,0.457079142332077,2.041801929473877,0.620587170124054
19,0.3446408808231354,2.971338987350464,0.4898073077201843,0.4596804082393646,2.0227222442626953,0.6261612772941589
20,0.352205753326416,2.9323413372039795,0.4956203103065491,0.46674099564552307,1.9855297803878784,0.6321070194244385
21,0.35730212926864624,2.889732837677002,0.5008759498596191,0.470085471868515,1.9829566478729248,0.6332218647003174
22,0.3539576232433319,2.8944005966186523,0.4971333146095276,0.4808621406555176,1.9420897960662842,0.6417688727378845
23,0.35801878571510315,2.87176775932312,0.5046982169151306,0.4819769561290741,1.9299458265304565,0.6436269283294678
24,0.3572224974632263,2.8520798683166504,0.5062907934188843,0.4778892695903778,1.9270579814910889,0.6451133489608765
25,0.363115131855011,2.859466791152954,0.506609320640564,0.4871794879436493,1.9050756692886353,0.6518023014068604
26,0.36797261238098145,2.8157260417938232,0.515209436416626,0.4882943034172058,1.887784719467163,0.6562616229057312
27,0.36900779604911804,2.788992404937744,0.5173594355583191,0.4964697062969208,1.8595088720321655,0.6603493094444275
28,0.3781653046607971,2.7320737838745117,0.5253224968910217,0.49535489082336426,1.8499505519866943,0.660720944404602
29,0.3763338029384613,2.753373622894287,0.5211020708084106,0.503158688545227,1.8321239948272705,0.6681531071662903
30,0.3805542290210724,2.7070252895355225,0.5265169739723206,0.5035302639007568,1.822055697441101,0.6714975833892822
31,0.37649306654930115,2.7129597663879395,0.5289058685302734,0.5072463750839233,1.7955801486968994,0.6722407937049866
32,0.38899505138397217,2.664022445678711,0.5372670888900757,0.5083612203598022,1.7890368700027466,0.6744704842567444
33,0.3838190734386444,2.6776294708251953,0.5327281355857849,0.5165365934371948,1.7651517391204834,0.677071750164032
34,0.3938525319099426,2.6228461265563965,0.5415671467781067,0.5117056965827942,1.7654457092285156,0.6863619685173035
35,0.3944895565509796,2.6356358528137207,0.5386207699775696,0.5172798037528992,1.744830846786499,0.68487548828125
36,0.39751553535461426,2.5720574855804443,0.5489727854728699,0.5206242799758911,1.7280468940734863,0.6874767541885376
37,0.4080267548561096,2.57619047164917,0.5523968935012817,0.525083601474762,1.7127679586410522,0.6893348097801208
