epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.8948081135749817,0.3343469202518463,0.9577957987785339,0.9186176061630249,0.2883813977241516,0.9606094360351562
1,0.8979136943817139,0.3228560984134674,0.95644211769104,0.9182460308074951,0.28692707419395447,0.9609810709953308
2,0.8986303806304932,0.31836384534835815,0.9595476984977722,0.9186176061630249,0.28584787249565125,0.9609810709953308
3,0.9017359614372253,0.31560036540031433,0.9600254893302917,0.9197324514389038,0.28481653332710266,0.9602378010749817
4,0.9050804376602173,0.3035217821598053,0.9628921747207642,0.9197324514389038,0.284083753824234,0.9606094360351562
5,0.9034878015518188,0.3070395290851593,0.9621754884719849,0.9197324514389038,0.2829769551753998,0.9609810709953308
6,0.9042841196060181,0.31413403153419495,0.9612995982170105,0.9208472967147827,0.2819437086582184,0.9609810709953308
7,0.9038063287734985,0.3062254786491394,0.9616180658340454,0.9215905070304871,0.28090471029281616,0.9613526463508606
8,0.9022933840751648,0.3034459948539734,0.9624143838882446,0.9223337173461914,0.28016746044158936,0.9613526463508606
9,0.9037266969680786,0.30487915873527527,0.9621754884719849,0.9215905070304871,0.27907004952430725,0.9613526463508606
10,0.9085045456886292,0.28863030672073364,0.9627329111099243,0.9230769276618958,0.2781361937522888,0.9617242813110352
11,0.9063544869422913,0.30387094616889954,0.9612995982170105,0.9219620823860168,0.2774604856967926,0.9624674916267395
12,0.9082656502723694,0.2899707555770874,0.965281069278717,0.9219620823860168,0.27668333053588867,0.9628390669822693
13,0.9062748551368713,0.29334133863449097,0.9646440744400024,0.9230769276618958,0.2759856581687927,0.9624674916267395
14,0.9104156494140625,0.28701603412628174,0.9667940735816956,0.9234485030174255,0.2756189703941345,0.9628390669822693
15,0.9057971239089966,0.2954808473587036,0.9638477563858032,0.9245633482933044,0.2745741605758667,0.9628390669822693
16,0.909699022769928,0.2871282994747162,0.9667144417762756,0.9256781935691833,0.27405381202697754,0.9632107019424438
17,0.909699022769928,0.28760284185409546,0.9661570191383362,0.9264214038848877,0.27310991287231445,0.9635823369026184
18,0.9098582863807678,0.28854435682296753,0.9636884927749634,0.9260497689247131,0.27252382040023804,0.9635823369026184
19,0.9085045456886292,0.28936585783958435,0.9636884927749634,0.9264214038848877,0.27220770716667175,0.9632107019424438
20,0.9140786528587341,0.2754976749420166,0.9648033380508423,0.9267930388450623,0.27142995595932007,0.9635823369026184
21,0.9089823365211487,0.286628395318985,0.9647237062454224,0.9267930388450623,0.270761638879776,0.9639539122581482
22,0.9083452820777893,0.2848665118217468,0.9662366509437561,0.927164614200592,0.26983875036239624,0.9639539122581482
23,0.9084249138832092,0.2829533815383911,0.9655995965003967,0.927164614200592,0.2697506844997406,0.9639539122581482
24,0.9103360176086426,0.2793765962123871,0.9644051790237427,0.927164614200592,0.26902565360069275,0.9639539122581482
