stage,epoch,epoch_seconds,stage_seconds,pipeline_seconds,learning_rate
full_finetune,1,306.6439551550011,306.64504173300156,15881.19653492,9.999999974752427e-07
full_finetune,2,193.43161744399913,500.08196139199936,16074.633454931998,9.999999974752427e-07
full_finetune,3,192.88717998500215,692.9742981419986,16267.525791338998,9.999999974752427e-07
full_finetune,4,192.77176045899978,885.7508887590011,16460.302381819998,9.999999974752427e-07
full_finetune,5,192.96104361900143,1078.7168710359983,16653.268364216998,9.999999974752427e-07
full_finetune,6,192.92255318000025,1271.6445567730007,16846.196050198,9.999999974752427e-07
full_finetune,7,187.96416054600195,1459.6134761520007,17034.164969654998,9.999999974752427e-07
full_finetune,8,187.87817718000224,1647.4957672609999,17222.047260618998,9.999999974752427e-07
full_finetune,9,187.6109957539993,1835.111961606999,17409.663455206,9.999999974752427e-07
full_finetune,10,193.11540664800123,2028.231544907001,17602.783038273,9.999999974752427e-07
full_finetune,11,188.03188628000134,2216.268931789,17790.820425396,9.999999974752427e-07
full_finetune,12,188.2457337099986,2404.5188815049987,17979.070375033,9.999999974752427e-07
full_finetune,13,188.31300864799778,2592.8360739279997,18167.387567462,9.999999974752427e-07
full_finetune,14,192.60791842599792,2785.4491228119987,18360.000616248,9.999999974752427e-07
full_finetune,15,187.55818672500027,2973.0120537779985,18547.563547326,9.999999974752427e-07
full_finetune,16,187.71419237499867,3160.731100416,18735.282593988,9.999999974752427e-07
full_finetune,17,187.81335852600023,3348.5495242319994,18923.101017653,9.999999974752427e-07
full_finetune,18,187.91832715799683,3536.473217783001,19111.024711487,9.999999974752427e-07
full_finetune,19,190.9493007159981,3727.426779764999,19301.978273280998,9.999999974752427e-07
full_finetune,20,187.83765251300065,3915.268614419001,19489.820107867,9.999999974752427e-07
full_finetune,21,187.92031754500204,4103.194588802999,19677.746082293,9.999999974752427e-07
full_finetune,22,188.22498145200007,4291.423889502999,19865.975382992,9.999999974752427e-07
full_finetune,23,188.10791214900019,4479.536202726002,20054.087696098,9.999999974752427e-07
full_finetune,24,188.30895938400135,4667.8494352689995,20242.400928777,9.999999974752427e-07
full_finetune,25,188.63256210300096,4856.487484161,20431.03897773,9.999999974752427e-07
full_finetune,26,188.37083575799988,5044.863039208001,20619.414532674,9.999999974752427e-07
full_finetune,27,188.08844217800288,5232.957088805,20807.508582398,9.999999974752427e-07
full_finetune,28,188.06792264100295,5421.029953425001,20995.581446917,9.999999974752427e-07
full_finetune,29,188.58749544199964,5609.621829396001,21184.173322681,9.999999974752427e-07
full_finetune,30,188.2400008270015,5797.8676747969985,21372.4191682,9.999999974752427e-07
full_finetune,31,188.11755567499858,5985.989727338001,21560.541220791998,9.999999974752427e-07
full_finetune,32,187.82616338500156,6173.820126766001,21748.371620236998,9.999999974752427e-07
full_finetune,33,188.04858631000025,6361.873231357,21936.424724866,9.999999974752427e-07
full_finetune,34,188.05465779099904,6549.933306002,22124.484799474998,2.0000000233721948e-07
full_finetune,35,188.27151564700034,6738.209637923999,22312.761131477,2.0000000233721948e-07
full_finetune,36,187.91055345899804,6926.124577481998,22500.676070894,2.0000000233721948e-07
full_finetune,37,188.0036661459999,7114.135022363,22688.686515733,2.0000000233721948e-07
