epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.6643573641777039,1.303816318511963,0.772814154624939,0.8212560415267944,0.6485399603843689,0.8992939591407776
1,0.8006848096847534,0.7119767665863037,0.8933747410774231,0.8591601848602295,0.48472869396209717,0.9349684119224548
2,0.8286351561546326,0.5933599472045898,0.9143175482749939,0.8762542009353638,0.42399969696998596,0.945745050907135
3,0.8428093791007996,0.5367132425308228,0.9276955127716064,0.885915994644165,0.3876536786556244,0.9502043724060059
4,0.8530020713806152,0.5005049109458923,0.9292880892753601,0.887030839920044,0.37021613121032715,0.9535488486289978
5,0.8577799201011658,0.4738658666610718,0.9369326233863831,0.8959494829177856,0.34919875860214233,0.9568933248519897
6,0.8624780774116516,0.45521432161331177,0.937967836856842,0.8963210582733154,0.3515138328075409,0.9557785391807556
7,0.8656633496284485,0.4381638467311859,0.9409141540527344,0.9018952250480652,0.32648253440856934,0.958751380443573
8,0.8693263530731201,0.4243110716342926,0.9453734755516052,0.9033816456794739,0.321064829826355,0.9602378010749817
9,0.8742634057998657,0.4103289246559143,0.944577157497406,0.9018952250480652,0.3162119686603546,0.9609810709953308
10,0.8775282502174377,0.39921140670776367,0.9469660520553589,0.9052397012710571,0.31424567103385925,0.9620958566665649
11,0.8748208284378052,0.39852437376976013,0.9476031064987183,0.9056112766265869,0.313595175743103,0.9635823369026184
12,0.8766523599624634,0.3980136513710022,0.9486383199691772,0.9111854434013367,0.3075028657913208,0.9676700234413147
13,0.8799172043800354,0.37787941098213196,0.9516642689704895,0.9115570187568665,0.29290392994880676,0.9687848091125488
14,0.8842172026634216,0.3721168637275696,0.9519827961921692,0.9067261219024658,0.2998044788837433,0.9669268131256104
15,0.8888357877731323,0.3597414493560791,0.9537346959114075,0.9082125425338745,0.2948640286922455,0.9669268131256104
16,0.8887561559677124,0.3595068156719208,0.9539735913276672,0.9126718640327454,0.2869148850440979,0.968413233757019
17,0.8841376304626465,0.36118045449256897,0.953177273273468,0.914158284664154,0.2831368148326874,0.9702712893486023
18,0.888119101524353,0.35544267296791077,0.9541327953338623,0.9134150743484497,0.29126474261283875,0.9680415987968445
19,0.8903487920761108,0.34491774439811707,0.9566810131072998,0.9178743958473206,0.28136736154556274,0.968413233757019
20,0.8911451101303101,0.350157767534256,0.9581939578056335,0.9145299196243286,0.2820386588573456,0.9706428647041321
21,0.8907469511032104,0.34274566173553467,0.9548494815826416,0.9145299196243286,0.2788633406162262,0.9725009202957153
